u0_opt,u1_opt,u2_opt
0.478542,0.206339,0.768473
0.478542,0.202848,0.929386
0.478542,0.199357,1.11625
0.478542,0.195867,1.32506
0.478542,0.192376,1.54923
0.478542,0.188885,1.77969
0.478542,0.185395,2.0094
0.478542,0.181904,2.23173
0.478542,0.178413,2.44346
0.478542,0.174923,2.39084
0.478542,0.17493,2.22611
0.427401,0.143509,0.349066
0.427401,0.140018,0.349066
0.427401,0.143509,0.349066
0.427401,0.147,0.349066
0.427401,0.15049,0.349066
0.427401,0.153981,0.349066
0.427401,0.157472,0.349066
0.427401,0.160962,0.349066
0.427401,0.164453,0.349066
0.427401,0.167944,0.349066
0.427401,0.171434,0.349066
0.427401,0.174925,0.349066
0.427401,0.178416,0.349066
0.427401,0.181906,0.349066
0.427401,0.185397,0.349066
0.427401,0.188888,0.349066
0.427401,0.192378,0.349066
0.427401,0.195869,0.349066
0.427401,0.19936,0.349066
0.427401,0.20285,0.363309
0.427401,0.206341,0.385233
0.427401,0.209832,0.445168
0.427401,0.21128,0.529964
0.427401,0.207789,0.636732
0.427401,0.204299,0.770417
0.427401,0.200808,0.931461
0.427401,0.197317,1.11841
0.427401,0.193827,1.32722
0.427401,0.190336,1.55124
0.427401,0.186845,1.78147
0.427401,0.183355,2.01075
0.427401,0.179864,2.23249
0.427401,0.176373,2.44346
0.427401,0.172883,2.33569
0.427401,0.172868,2.22266
0.356123,0.143856,0.349066
0.356123,0.140365,0.349066
0.356123,0.143856,0.349066
0.356123,0.147346,0.349066
0.356123,0.150837,0.349066
0.356123,0.154328,0.349066
0.356123,0.157818,0.349066
0.356123,0.161309,0.349066
0.356123,0.1648,0.349066
0.356123,0.16829,0.349066
0.356123,0.171781,0.349066
0.356123,0.175272,0.349066
0.356123,0.178762,0.349066
0.356123,0.182253,0.349066
0.356123,0.185744,0.349066
0.356123,0.189234,0.349066
0.356123,0.192725,0.349066
0.356123,0.196216,0.349066
0.356123,0.199706,0.349066
0.356123,0.203197,0.364817
0.356123,0.206688,0.385901
0.356123,0.210178,0.44677
0.356123,0.209848,0.530618
0.356123,0.206357,0.637757
0.356123,0.202866,0.771802
0.356123,0.199376,0.933173
0.356123,0.195885,1.12038
0.356123,0.192394,1.32932
0.356123,0.188904,1.5533
0.356123,0.185413,1.78335
0.356123,0.181922,2.01223
0.356123,0.178432,2.23334
0.356123,0.174941,2.44346
0.356123,0.17145,2.26678
0.356123,0.171426,2.15002
0.349065,0.144206,0.349066
0.349065,0.140716,0.349066
0.349065,0.144206,0.349066
0.349065,0.147697,0.349066
0.349065,0.151188,0.349066
0.349065,0.154679,0.349066
0.349065,0.158169,0.349066
0.349065,0.16166,0.349066
0.349065,0.165151,0.349066
0.349065,0.168641,0.349066
0.349065,0.172132,0.349066
0.349065,0.175623,0.349066
0.349065,0.179113,0.349066
0.349065,0.182604,0.349066
0.349065,0.186095,0.349066
0.349065,0.189585,0.349066
0.349065,0.193076,0.349066
0.349065,0.196567,0.349066
0.349065,0.200057,0.349066
0.349065,0.203548,0.366347
0.349065,0.207039,0.386595
0.349065,0.210529,0.448404
0.349065,0.208387,0.531276
0.349065,0.204896,0.638786
0.349065,0.201405,0.77319
0.349065,0.197915,0.934888
0.349065,0.194424,1.12235
0.349065,0.190933,1.33142
0.349065,0.187443,1.55535
0.349065,0.183952,1.78524
0.349065,0.180461,2.01372
0.349065,0.176971,2.2342
0.349065,0.17348,2.44346
0.349065,0.169989,2.35299
0.349065,0.169979,2.19359
0.162876,0.131625,0.349066
0.162876,0.128134,0.349066
0.162876,0.131625,0.349066
0.162876,0.135116,0.349066
0.162876,0.138606,0.349066
0.162876,0.142097,0.349066
0.162876,0.145588,0.349066
0.162876,0.149078,0.349066
0.162876,0.152569,0.349066
0.162876,0.15606,0.349066
0.162876,0.15955,0.349066
0.162876,0.163041,0.349066
0.162876,0.166532,0.349066
0.162876,0.170022,0.349066
0.162876,0.173513,0.349066
0.162876,0.177004,0.349066
0.162876,0.180494,0.349066
0.162876,0.183985,0.349066
0.162876,0.187476,0.349066
0.162876,0.183985,0.349066
0.162876,0.187476,0.354242
0.162876,0.190966,0.395891
0.162876,0.187476,0.465387
0.162876,0.183985,0.558156
0.162876,0.180494,0.675845
0.162876,0.177004,0.819695
0.162876,0.173513,0.989449
0.162876,0.170022,1.18245
0.162876,0.166532,1.3932
0.162876,0.163041,1.61382
0.162876,0.15955,1.83726
0.162876,0.15606,2.05361
0.162876,0.152569,2.25663
0.162876,0.149078,2.44346
0.162876,0.148936,2.2097
0.21845,0.131653,0.349066
0.21845,0.128162,0.349066
0.21845,0.131653,0.349066
0.21845,0.135144,0.349066
0.21845,0.138634,0.349066
0.21845,0.142125,0.349066
0.21845,0.145616,0.349066
0.21845,0.149106,0.349066
0.21845,0.152597,0.349066
0.21845,0.156088,0.349066
0.21845,0.159578,0.349066
0.21845,0.163069,0.349066
0.21845,0.16656,0.349066
0.21845,0.17005,0.349066
0.21845,0.173541,0.349066
0.21845,0.177032,0.349066
0.21845,0.180522,0.349066
0.21845,0.184013,0.349066
0.21845,0.187504,0.349066
0.21845,0.184013,0.349066
0.21845,0.187504,0.352379
0.21845,0.186465,0.399523
0.21845,0.182974,0.468076
0.21845,0.179483,0.560368
0.21845,0.175993,0.677852
0.21845,0.172502,0.821644
0.21845,0.169011,0.991402
0.21845,0.165521,1.1844
0.21845,0.16203,1.39508
0.21845,0.158539,1.61551
0.21845,0.155049,1.83872
0.21845,0.151558,2.0547
0.21845,0.148067,2.25724
0.21845,0.144577,2.44346
0.21845,0.144407,2.39287
0.208041,0.131853,0.349066
0.208041,0.128362,0.349066
0.208041,0.131853,0.349066
0.208041,0.135343,0.349066
0.208041,0.138834,0.349066
0.208041,0.142325,0.349066
0.208041,0.145815,0.349066
0.208041,0.149306,0.349066
0.208041,0.152797,0.349066
0.208041,0.156287,0.349066
0.208041,0.159778,0.349066
0.208041,0.163269,0.349066
0.208041,0.166759,0.349066
0.208041,0.17025,0.349066
0.208041,0.173741,0.349066
0.208041,0.177231,0.349066
0.208041,0.180722,0.349066
0.208041,0.184213,0.349066
0.208041,0.187703,0.349066
0.208041,0.184213,0.349066
0.208041,0.187703,0.35169
0.208041,0.186064,0.399213
0.208041,0.182573,0.468371
0.208041,0.179082,0.561162
0.208041,0.175592,0.679091
0.208041,0.172101,0.823284
0.208041,0.16861,0.993378
0.208041,0.16512,1.1866
0.208041,0.161629,1.39737
0.208041,0.158138,1.61769
0.208041,0.154648,1.84067
0.208041,0.151157,2.0562
0.208041,0.147666,2.25808
0.208041,0.144176,2.44346
0.208041,0.143875,2.22541
0.0646559,0.132094,0.349066
0.0646559,0.128604,0.349066
0.0646559,0.132094,0.349066
0.0646559,0.135585,0.349066
0.0646559,0.139076,0.349066
0.0646559,0.142566,0.349066
0.0646559,0.146057,0.349066
0.0646559,0.149548,0.349066
0.0646559,0.153038,0.349066
0.0646559,0.156529,0.349066
0.0646559,0.16002,0.349066
0.0646559,0.16351,0.349066
0.0646559,0.167001,0.349066
0.0646559,0.170492,0.349066
0.0646559,0.173982,0.349066
0.0646559,0.177473,0.349066
0.0646559,0.180964,0.349066
0.0646559,0.184455,0.349066
0.0646559,0.187945,0.349066
0.0646559,0.184455,0.349934
0.0646559,0.187945,0.351669
0.0646559,0.185476,0.399207
0.0646559,0.181985,0.468853
0.0646559,0.178494,0.562075
0.0646559,0.175004,0.680404
0.0646559,0.171513,0.824969
0.0646559,0.168022,0.99538
0.0646559,0.164532,1.18882
0.0646559,0.161041,1.39966
0.0646559,0.15755,1.61986
0.0646559,0.15406,1.8426
0.0646559,0.150569,2.05769
0.0646559,0.147078,2.25892
0.0646559,0.143588,2.44346
0.0646559,0.143532,2.2179
0.249323,0.133628,0.349066
0.249323,0.130138,0.349066
0.249323,0.133628,0.349066
0.249323,0.137119,0.349066
0.249323,0.14061,0.349066
0.249323,0.1441,0.349066
0.249323,0.147591,0.349066
0.249323,0.151082,0.349066
0.249323,0.154572,0.349066
0.249323,0.158063,0.349066
0.249323,0.161554,0.349066
0.249323,0.165044,0.349066
0.249323,0.168535,0.349066
0.249323,0.172026,0.349066
0.249323,0.175516,0.349066
0.249323,0.179007,0.349066
0.249323,0.182498,0.349066
0.249323,0.185988,0.349066
0.249323,0.189479,0.349066
0.249323,0.19297,0.362692
0.249323,0.19646,0.397051
0.249323,0.199951,0.434019
0.249323,0.203442,0.519337
0.249323,0.199951,0.624619
0.249323,0.19646,0.756595
0.249323,0.19297,0.916009
0.249323,0.189479,1.10177
0.249323,0.185988,1.31018
0.249323,0.182498,1.53493
0.249323,0.179007,1.76647
0.249323,0.175516,1.99834
0.249323,0.172026,2.22381
0.249323,0.168535,2.43944
0.249323,0.165044,2.21336
0.249323,0.164858,2.00825
0.368308,0.13353,0.349066
0.368308,0.13004,0.349066
0.368308,0.13353,0.349066
0.368308,0.137021,0.349066
0.368308,0.140512,0.349066
0.368308,0.144002,0.349066
0.368308,0.147493,0.349066
0.368308,0.150984,0.349066
0.368308,0.154474,0.349066
0.368308,0.157965,0.349066
0.368308,0.161456,0.349066
0.368308,0.164946,0.349066
0.368308,0.168437,0.349066
0.368308,0.171928,0.349066
0.368308,0.175418,0.349066
0.368308,0.178909,0.349066
0.368308,0.1824,0.349066
0.368308,0.18589,0.349066
0.368308,0.189381,0.349066
0.368308,0.192872,0.362859
0.368308,0.196362,0.395411
0.368308,0.199853,0.435387
0.368308,0.203344,0.520998
0.368308,0.199853,0.62663
0.368308,0.196362,0.758992
0.368308,0.192872,0.918786
0.368308,0.189381,1.10486
0.368308,0.18589,1.31348
0.368308,0.1824,1.53827
0.368308,0.178909,1.76978
0.368308,0.175418,2.00144
0.368308,0.171928,2.22653
0.368308,0.168437,2.44169
0.368308,0.164946,2.26962
0.368308,0.164927,2.16479
0.5,0.133424,0.349066
0.5,0.129933,0.349066
0.5,0.133424,0.349066
0.5,0.136915,0.349066
0.5,0.140405,0.349066
0.5,0.143896,0.349066
0.5,0.147387,0.349066
0.5,0.150877,0.349066
0.5,0.154368,0.349066
0.5,0.157859,0.349066
0.5,0.161349,0.349066
0.5,0.16484,0.349066
0.5,0.168331,0.349066
0.5,0.171821,0.349066
0.5,0.175312,0.349066
0.5,0.178803,0.349066
0.5,0.182293,0.349066
0.5,0.185784,0.349066
