t,north,east,down,vel,roll,pitch,speed,throttle
1.84,5.82441,200.706,-23.952,17.6237,-1.77705,4.9105,17.4082,0.0009
1.85,5.85023,201.267,-24.0258,17.5622,-1.77,4.73477,17.4082,0.0009
1.86,5.87548,201.826,-24.097,17.4992,-1.7634,4.61724,17.4082,0.0009
1.87,5.87548,201.826,-24.097,17.4992,-1.75906,4.4794,17.0377,0.0009
1.88,5.90623,202.522,-24.1825,17.4199,-1.75732,4.35111,17.0377,0.0009
1.89,5.90623,202.522,-24.1825,17.4199,-1.75925,4.229,17.0377,0.0009
1.9,5.93023,203.076,-24.2486,17.3564,-1.75405,4.11367,17.0377,0.0009
1.91,5.95609,203.629,-24.3115,17.2933,-1.7477,4.00646,17.0377,0.0009
1.92,5.95609,203.629,-24.3115,17.2933,-1.75412,3.90794,16.6999,0.0009
1.93,5.98836,204.179,-24.3696,17.2269,-1.75645,3.81475,16.6999,0.0009
1.94,5.98836,204.179,-24.3696,17.2269,-1.7667,3.7303,16.6999,0.0009
1.95,6.01982,204.727,-24.4265,17.1608,-1.76301,3.64861,16.6999,0.0009
1.96,6.01982,204.727,-24.4265,17.1608,-1.76765,3.57334,16.6999,0.0009
1.97,6.05054,205.273,-24.482,17.0933,-1.76267,3.49664,16.6999,0.0009
1.98,6.08796,205.952,-24.5499,17.0092,-1.75938,3.42944,16.6999,0.0009
1.99,6.08796,205.952,-24.5499,17.0092,-1.75338,3.37769,16.6999,0.0009
2,6.11715,206.493,-24.603,16.9431,-1.74529,3.33054,16.6999,0.0009
2.01,6.11715,206.493,-24.603,16.9431,-1.73623,3.2716,16.6999,0.0009
2.02,6.14573,207.032,-24.6551,16.8764,-1.71915,3.21938,16.5679,0.0009
2.03,6.14573,207.032,-24.6551,16.8764,-1.70637,3.16458,16.5679,0.0009
2.04,6.17372,207.568,-24.7063,16.8099,-1.69903,3.11567,16.5679,0.0009
2.05,6.20114,208.102,-24.7565,16.7432,-1.68745,3.05775,16.5679,0.0009
2.06,6.20114,208.102,-24.7565,16.7432,-1.67519,3.01139,16.5679,0.0009
2.07,6.22803,208.635,-24.806,16.6766,-1.66178,2.97156,16.3445,0.001
2.08,6.22803,208.635,-24.806,16.6766,-1.64744,2.92796,16.3445,0.001
2.09,6.26086,209.297,-24.8666,16.5944,-1.63091,2.89002,16.3445,0.001
2.1,6.26086,209.297,-24.8666,16.5944,-1.62996,2.88367,16.3445,0.001
2.11,6.28651,209.824,-24.9142,16.5276,-1.62279,2.84936,16.3445,0.001
2.12,6.31376,210.349,-24.9601,16.4606,-1.61087,2.82026,16.3445,0.001
2.13,6.31376,210.349,-24.9601,16.4606,-1.59921,2.79269,16.0822,0.001
2.14,6.34669,210.87,-25.0021,16.392,-1.58932,2.76297,16.0822,0.001
2.15,6.34669,210.87,-25.0021,16.392,-1.58059,2.74539,16.0822,0.001
2.16,6.38687,211.519,-25.0544,16.3055,-1.56812,2.72811,16.0822,0.001
2.17,6.41048,211.906,-25.0856,16.2546,-1.55629,2.71208,16.0822,0.001
2.18,6.41048,211.906,-25.0856,16.2546,-1.54133,2.69577,15.8777,0.001
2.19,6.44904,212.55,-25.1374,16.1714,-1.52159,2.67286,15.8777,0.001
2.2,6.44904,212.55,-25.1374,16.1714,-1.50651,2.6607,15.8777,0.001
2.21,6.47922,213.062,-25.1788,16.105,-1.4923,2.64905,15.8777,0.001
2.22,6.47922,213.062,-25.1788,16.105,-1.47283,2.63505,15.8777,0.001
2.23,6.50879,213.572,-25.2199,16.0385,-1.45189,2.62729,15.4711,0.001
2.24,6.53776,214.081,-25.261,15.9713,-1.43386,2.61594,15.4711,0.001
2.25,6.53776,214.081,-25.261,15.9713,-1.41913,2.60255,15.4711,0.001
2.26,6.56616,214.587,-25.302,15.9059,-1.40883,2.59726,15.4711,0.001
2.27,6.56616,214.587,-25.302,15.9059,-1.39024,2.59066,15.4711,0.001
2.28,6.594,215.092,-25.3428,15.8402,-1.36795,2.58927,15.4711,0.0011
2.29,6.594,215.092,-25.3428,15.8402,-1.34903,2.58496,15.4711,0.0011
2.3,6.62806,215.72,-25.3938,15.7587,-1.32751,2.58116,15.4711,0.0011
2.31,6.65474,216.22,-25.4344,15.6946,-1.31142,2.5808,15.4711,0.0011
2.32,6.65474,216.22,-25.4344,15.6946,-1.29413,2.57594,15.4711,0.0011
2.33,6.6829,216.717,-25.4741,15.6299,-1.28094,2.57361,15.1729,0.0011
2.34,6.6829,216.717,-25.4741,15.6299,-1.25882,2.57284,15.1729,0.0011
2.35,6.7163,217.21,-25.5116,15.5628,-1.24553,2.57604,15.1729,0.0011
2.36,6.74894,217.702,-25.5491,15.4955,-1.22782,2.57875,15.1729,0.0011
2.37,6.74894,217.702,-25.5491,15.4955,-1.2239,2.57981,15.1729,0.0011
2.38,6.78089,218.191,-25.5868,15.4293,-1.2075,2.59085,15.1729,0.0011
2.39,6.78089,218.191,-25.5868,15.4293,-1.189,2.59921,15.1367,0.0011
2.4,6.8199,218.801,-25.634,15.3474,-1.17002,2.59895,15.1367,0.0011
2.41,6.8199,218.801,-25.634,15.3474,-1.15331,2.59576,15.1367,0.0011
2.42,6.85044,219.286,-25.6719,15.2821,-1.13582,2.5785,15.1367,0.0011
2.43,6.88042,219.769,-25.7096,15.2193,-1.11823,2.54595,15.1367,0.0011
2.44,6.88042,219.769,-25.7096,15.2193,-1.10144,2.50492,14.8844,0.001
2.45,6.9098,220.251,-25.7469,15.1581,-1.0783,2.44303,14.8844,0.001
2.46,6.9098,220.251,-25.7469,15.1581,-1.06358,2.39065,14.8844,0.001
2.47,6.93863,220.731,-25.7835,15.0989,-1.04902,2.31545,14.8844,0.001
2.48,6.96694,221.209,-25.8192,15.0421,-1.03182,2.23448,14.8844,0.001
2.49,6.96694,221.209,-25.8192,15.0421,-1.00905,2.13996,14.6535,0.0009
2.5,7.00161,221.805,-25.8621,14.9736,-0.99012,2.03574,14.6535,0.0009
2.51,7.00161,221.805,-25.8621,14.9736,-0.968584,1.89721,14.6535,0.0009
2.52,7.02879,222.28,-25.8949,14.9204,-0.9527,1.77372,14.6535,0.0009
2.53,7.02879,222.28,-25.8949,14.9204,-0.935798,1.66694,14.6535,0.0009
2.54,7.05709,222.752,-25.9254,14.8684,-0.929135,1.58734,14.4137,0.0008
2.55,7.05709,222.752,-25.9254,14.8684,-0.918835,1.44783,14.4137,0.0008
2.56,7.08956,223.221,-25.9523,14.8158,-0.903192,1.30005,14.4137,0.0008
2.57,7.12135,223.688,-25.9775,14.7659,-0.881742,1.11269,14.4137,0.0008
2.58,7.12135,223.688,-25.9775,14.7659,-0.866369,0.986285,14.4137,0.0008
2.59,7.15251,224.153,-26.0008,14.7176,-0.855717,0.823876,14.3861,0.0007
2.6,7.15251,224.153,-26.0008,14.7176,-0.84036,0.649301,14.3861,0.0007
2.61,7.19064,224.734,-26.0271,14.6593,-0.822624,0.47282,14.3861,0.0007
2.62,7.22047,225.197,-26.0456,14.6138,-0.805371,0.289211,14.3861,0.0007
2.63,7.22047,225.197,-26.0456,14.6138,-0.782197,0.0642048,14.3861,0.0007
