z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10.5,0,5.91468e-08,0.182147,0.349066,-5,1.3,10.5,-5.00855e-45,10.5,-8.54792e-44,-4.60556,1.23354,0.182147
1.3,10.5,1,6.52408e-08,0.178657,0.349066,-4.79,1.3,10.9322,0.0765532,10.9002,0.836081,-4.39579,1.23217,0.102103
1.3,10.5,2,7.13323e-08,0.175166,0.349066,-4.572,1.31672,11.1294,0.117002,11.0533,1.29919,-4.17803,1.24751,0.0581641
1.3,10.5,3,7.80452e-08,0.171675,0.349066,-4.35093,1.34271,11.2259,0.136246,11.1218,1.52475,-3.95721,1.27212,0.0354296
1.3,10.5,4,8.59884e-08,0.168185,0.349066,-4.12849,1.3732,11.2808,0.144103,11.1639,1.61998,-3.73502,1.30124,0.0240819
1.3,10.5,5,9.58515e-08,0.164694,0.349066,-3.90522,1.4056,11.3182,0.146185,11.1975,1.64867,-3.51199,1.33227,0.0185086
1.3,10.5,6,1.086e-07,0.161203,0.349066,-3.68127,1.43857,11.348,0.145432,11.2282,1.64455,-3.2883,1.36387,0.0157711
1.3,10.5,7,1.25812e-07,0.157713,0.349066,-3.4567,1.47146,11.3744,0.143311,11.2578,1.6245,-3.064,1.39539,0.0144017
1.3,10.5,8,1.5041e-07,0.154222,0.349066,-3.23155,1.50395,11.3994,0.140536,11.287,1.59676,-2.83911,1.42651,0.0136855
1.3,10.5,9,1.88656e-07,0.150731,0.349066,-3.00581,1.53589,11.4238,0.137452,11.316,1.56528,-2.61365,1.45707,0.013279
1.3,10.5,10,2.57192e-07,0.147241,0.349066,-2.77949,1.5672,11.448,0.134222,11.3451,1.53197,-2.3876,1.48701,0.0130187
1.3,10.5,11,4.23091e-07,0.14375,0.349066,-2.55258,1.59783,11.4723,0.130923,11.3741,1.4977,-2.16099,1.51628,0.0128268
1.3,10.5,12,0.776907,0.140259,0.349066,-2.3251,1.62779,11.4967,0.127592,11.4032,1.46291,-1.93379,1.54487,0.012667
1.3,10.5,13,1,0.136769,0.349066,-2.09704,1.65705,11.0825,0.134985,10.9817,1.49143,-1.70602,1.57276,0.00178375
1.3,10.5,14,1,0.133278,0.349066,-1.8774,1.68688,10.3441,0.144219,10.2367,1.48665,-1.48668,1.60123,-0.0109412
1.3,10.5,15,1,0.129787,0.356093,-1.67267,1.71661,9.57309,0.146688,9.47028,1.39922,-1.28287,1.62686,-0.0169006
1.3,10.5,16,1,0.126297,0.386107,-1.48326,1.74459,8.75358,0.150741,8.65431,1.31454,-1.09669,1.64183,-0.0244449
1.3,10.5,17,1,0.122806,0.432162,-1.31018,1.77088,7.88323,0.157005,7.78627,1.23263,-0.929166,1.64911,-0.0341993
1.3,10.5,18,0.973836,0.119315,0.489326,-1.15445,1.79554,6.95978,0.166511,6.86352,1.15353,-0.781523,1.65089,-0.0471962
1.3,10.5,19,3.90836e-07,0.115825,0.552978,-1.01718,1.81861,6.03095,0.178543,5.93508,1.07107,-0.654798,1.64926,-0.0627186
1.3,10.5,20,2.49615e-07,0.112334,0.61878,-0.898481,1.84003,6.01429,0.145984,5.95032,0.874873,-0.548691,1.646,-0.0336499
1.3,10.5,21,1.88411e-07,0.108843,0.700281,-0.779474,1.85753,6.00395,0.11328,5.96547,0.678673,-0.447418,1.6345,-0.00443668
1.3,10.5,22,0.0219674,0.105353,0.797103,-0.660165,1.8711,6,0.0804991,5.98057,0.482473,-0.352113,1.61594,0.0248534
1.3,10.5,23,0.0941285,0.101862,0.909212,-0.540554,1.88075,6,0.0585806,5.98971,0.351283,-0.263987,1.59177,0.0432813
1.3,10.5,24,0.124589,0.0983712,1.03851,-0.420759,1.88777,6,0.0421582,5.99467,0.252874,-0.18489,1.56472,0.056213
1.3,10.5,25,0.14345,0.0948805,1.18492,-0.300866,1.89283,6,0.0295875,5.99737,0.177499,-0.115887,1.53817,0.065293
1.3,10.5,26,0.155933,0.0913898,1.347,-0.180919,1.89638,6,0.0197151,5.99883,0.118283,-0.0569207,1.51609,0.0716747
1.3,10.5,27,0.164431,0.0878992,1.52192,-0.0609419,1.89875,6,0.0117325,5.99959,0.0703936,-0.00640024,1.50248,0.0761666
1.3,10.5,28,0.170316,0.0844085,1.7057,0.0590498,1.90016,6,0.00507317,5.99992,0.0304389,0.03886,1.50067,0.0793353
1.3,10.5,29,0.174445,0.0809178,1.89374,0.179048,1.90076,6,-0.000659596,6,-0.00395758,0.0831803,1.51242,0.0815774
1.3,10.5,30,0.177381,0.0774272,2.08151,0.299048,1.90068,6,-0.0057434,5.9999,-0.0344602,0.131105,1.53765,0.0831706
1.3,10.5,31,2.96902e-06,0.0739365,2.26541,0.419046,1.9,6,-0.0103726,5.99968,-0.0622343,0.186412,1.5746,0.0843091
1.3,10.5,32,3.15611e-06,0.0704458,2.44346,0.53904,1.89875,6.03413,-0.0150187,6.03345,-0.0906215,0.25148,1.62071,0.0854645
1.3,10.5,33,3.3656e-06,0.0739365,2.25037,0.659709,1.89694,6.06944,-0.0189604,6.06835,-0.115072,0.431995,1.56808,0.0928969
1.3,10.5,34,3.60513e-06,0.0774272,2.08797,0.781076,1.89464,6.10996,-0.0203534,6.1087,-0.12435,0.610792,1.53269,0.0977806
1.3,10.5,35,3.88151e-06,0.0809178,1.95154,0.90325,1.89215,6.15439,-0.0198834,6.15317,-0.122362,0.785108,1.50999,0.100801
1.3,10.5,36,4.2037e-06,0.0844085,1.83846,1.02631,1.8897,6.20166,-0.018058,6.20065,-0.111984,0.95342,1.4964,0.102467
1.3,10.5,37,4.58381e-06,0.0878992,1.74618,1.15033,1.88746,6.25093,-0.015253,6.2502,-0.0953417,1.11538,1.48899,0.103152
1.3,10.5,38,5.03863e-06,0.0913898,1.67192,1.27533,1.88556,6.30154,-0.0117462,6.30111,-0.0740172,1.27144,1.48558,0.103136
1.3,10.5,39,5.59204e-06,0.0948805,1.61284,1.40135,1.88408,6.35302,-0.0077423,6.35283,-0.0491865,1.42248,1.48463,0.102623
1.3,10.5,40,6.27936e-06,0.0983712,1.56626,1.52841,1.88309,6.405,-0.0033919,6.40497,-0.0217251,1.5695,1.48521,0.101763
1.3,10.5,41,7.15499e-06,0.101862,1.52979,1.65651,1.88266,6.45721,0.00119499,6.45721,0.00771633,1.71346,1.48673,0.100667
1.3,10.5,42,8.30735e-06,0.105353,1.50141,1.78565,1.88281,6.50947,0.00593831,6.50935,0.038655,1.85519,1.4889,0.0994142
1.3,10.5,43,9.89041e-06,0.108843,1.4795,1.91584,1.88359,6.56163,0.0107802,6.56125,0.0707341,1.99536,1.49157,0.098063
1.3,10.5,44,1.21985e-05,0.112334,1.46273,2.04706,1.885,6.61361,0.015679,6.61279,0.103691,2.13451,1.49468,0.0966548
1.3,10.5,45,1.58746e-05,0.115825,1.45009,2.17932,1.88707,6.66533,0.0206054,6.66392,0.137332,2.27305,1.49821,0.0952191
1.3,10.5,46,2.26577e-05,0.119315,1.44081,2.3126,1.88982,6.71677,0.0255385,6.71458,0.171518,2.41129,1.50219,0.0937767
1.3,10.5,47,3.96662e-05,0.122806,1.43432,2.44689,1.89325,6.7679,0.0304641,6.76476,0.206146,2.54945,1.50662,0.0923418
1.3,10.5,48,0.377922,0.122822,1.4302,2.58219,1.89737,6.81871,0.0353723,6.81445,0.241143,2.68634,1.51117,0.0874495
1.3,10.5,49,0.5,0.12283,1.4282,2.71847,1.9022,6.72282,0.0426233,6.71672,0.286462,2.8234,1.5162,0.0802064
1.3,10.75,0,6.38008e-08,0.178619,0.349066,-5,1.3,10.75,4.2575e-46,10.75,1.07725e-44,-4.6058,1.23215,0.178619
1.3,10.75,1,7.06351e-08,0.175128,0.349066,-4.785,1.3,11.1879,0.0775029,11.1543,0.866226,-4.39104,1.23078,0.0976251
