u0_opt,u1_opt,u2_opt,x,z,vel
8.68741e-05,0.0689052,2.44346,2.94301,10.6718,10.487
9.45473e-05,0.0680325,2.44346,3.04743,10.6816,10.4986
0.000103394,0.0671598,2.44346,3.15197,10.6913,10.5101
0.000113677,0.0662872,2.44346,3.25663,10.7009,10.5217
0.000125741,0.0654145,2.44346,3.36141,10.7105,10.5333
0.00014004,0.0645418,2.44346,3.46631,10.7199,10.5448
0.000157193,0.0636691,2.44346,3.57134,10.7294,10.5564
0.000178048,0.0627965,2.44346,3.67649,10.7387,10.568
0.000203808,0.0619238,2.44346,3.78177,10.7479,10.5796
0.000236224,0.0610511,2.44346,3.88716,10.7571,10.5911
0.000277934,0.0601784,2.44346,3.99268,10.7662,10.6027
0.000333084,0.0593058,2.44346,4.09832,10.7753,10.6143
0.000408536,0.0584331,2.44346,4.20409,10.7842,10.6259
0.000516441,0.0575604,2.44346,4.30997,10.7931,10.6375
0.00068036,0.0566878,2.44346,4.41598,10.802,10.6491
0.000952345,0.0558151,2.44346,4.52211,10.8107,10.6607
0.00147396,0.0549425,2.44346,4.62837,10.8194,10.6723
0.00282345,0.0540702,2.44346,4.73474,10.828,10.6838
0.248194,0.0540795,2.44346,4.84124,10.8365,10.6954
0.25,0.0540848,2.44346,4.94786,10.8449,10.6832
5.59494e-06,0.134056,0.592556,-5,9.75,9.5
5.63499e-06,0.133183,0.349066,-4.905,9.75,9.56003
5.68651e-06,0.132311,0.349066,-4.80945,9.75309,9.61712
5.74856e-06,0.131438,0.349066,-4.71344,9.75863,9.66908
5.82065e-06,0.130565,0.349066,-4.61703,9.76608,9.71525
5.90253e-06,0.129693,0.349066,-4.5203,9.77503,9.75575
5.99419e-06,0.12882,0.349066,-4.42327,9.78516,9.79109
6.0957e-06,0.127947,0.349066,-4.32598,9.79621,9.82195
6.20726e-06,0.127074,0.349066,-4.22847,9.80796,9.84902
6.32914e-06,0.126202,0.349066,-4.13075,9.82026,9.87295
