u0_opt,u1_opt,u2_opt,x,z,vel
9.9783e-06,0.15773,0.349066,-2.28573,9.84555,9.43193
1.03314e-05,0.158603,0.349066,-2.19267,9.86095,9.44881
1.06966e-05,0.15789,0.349066,-2.09947,9.87648,9.46568
1.10728e-05,0.157018,0.349066,-2.00612,9.89214,9.48157
1.14588e-05,0.156145,0.349066,-1.91262,9.9079,9.49656
1.18528e-05,0.155272,0.349066,-1.81898,9.92371,9.51084
1.22532e-05,0.1544,0.349066,-1.72521,9.93957,9.52455
1.26578e-05,0.153527,0.349066,-1.63129,9.95545,9.5378
1.30644e-05,0.152654,0.349066,-1.53725,9.97134,9.55068
1.34708e-05,0.151782,0.349066,-1.44307,9.98722,9.56328
1.38747e-05,0.150909,0.349066,-1.34876,10.0031,9.57564
1.42743e-05,0.150036,0.349066,-1.25433,10.0189,9.58782
1.46681e-05,0.149163,0.349066,-1.15976,10.0347,9.59986
1.50551e-05,0.148291,0.349066,-1.06507,10.0505,9.61177
1.54354e-05,0.147418,0.349066,-0.970246,10.0663,9.6236
1.58098e-05,0.146545,0.349066,-0.875299,10.082,9.63535
1.618e-05,0.145673,0.349066,-0.780225,10.0976,9.64705
1.65493e-05,0.1448,0.349066,-0.685025,10.1132,9.6587
1.69219e-05,0.143927,0.358911,-0.589699,10.1288,9.67031
1.73036e-05,0.143055,0.427069,-0.494248,10.1443,9.68189
1.77014e-05,0.142182,0.523255,-0.398671,10.1597,9.69345
1.81236e-05,0.141309,0.665445,-0.302968,10.1751,9.70499
1.85794e-05,0.140437,0.88398,-0.20714,10.1905,9.71652
1.90756e-05,0.139564,1.21499,-0.111187,10.2058,9.72804
1.96149e-05,0.138691,1.64124,-0.0151088,10.221,9.73954
2.01995e-05,0.137819,2.03931,0.0810946,10.2362,9.75104
2.08374e-05,0.136946,2.32239,0.177423,10.2514,9.76253
2.15436e-05,0.136073,2.50603,0.273877,10.2664,9.77402
2.22901e-05,0.135201,2.44346,0.370455,10.2815,9.78551
2.30805e-05,0.134328,2.44346,0.467158,10.2964,9.79699
2.39182e-05,0.133455,2.44346,0.563987,10.3113,9.80846
2.48074e-05,0.132583,2.44346,0.66094,10.3262,9.81994
2.57526e-05,0.13171,2.44346,0.758017,10.341,9.83141
2.67589e-05,0.130837,2.44346,0.85522,10.3557,9.84289
2.78319e-05,0.129965,2.44346,0.952547,10.3704,9.85436
2.89781e-05,0.129092,2.44346,1.05,10.3851,9.86583
3.02045e-05,0.128219,2.44346,1.14758,10.3996,9.8773
3.15193e-05,0.127347,2.44346,1.24528,10.4141,9.88877
3.29317e-05,0.126474,2.44346,1.3431,10.4286,9.90024
3.44522e-05,0.125601,2.44346,1.44105,10.443,9.9117
3.60927e-05,0.124729,2.44346,1.53913,10.4573,9.92317
3.78668e-05,0.123856,2.44346,1.63733,10.4716,9.93464
3.97906e-05,0.122983,2.44346,1.73565,10.4858,9.9461
4.18823e-05,0.122111,2.44346,1.8341,10.5,9.95757
4.41632e-05,0.121238,2.44346,1.93267,10.5141,9.96904
4.66584e-05,0.120365,2.44346,2.03137,10.5281,9.9805
4.93974e-05,0.119493,2.44346,2.13019,10.5421,9.99197
5.24152e-05,0.11862,2.44346,2.22914,10.556,10.0034
5.57536e-05,0.117747,2.44346,2.32821,10.5699,10.0149
5.9463e-05,0.116875,2.44346,2.4274,10.5837,10.0264
6.36047e-05,0.116002,2.44346,2.52672,10.5974,10.0378
6.82539e-05,0.115129,2.44346,2.62616,10.6111,10.0493
7.35038e-05,0.114257,2.44346,2.72573,10.6247,10.0608
7.94718e-05,0.113384,2.44346,2.82542,10.6382,10.0722
8.6307e-05,0.112511,2.44346,2.92523,10.6517,10.0837
9.42025e-05,0.111639,2.44346,3.02517,10.6652,10.0952
0.000103413,0.110766,2.44346,3.12523,10.6785,10.1066
0.00011428,0.109893,2.44346,3.22542,10.6918,10.1181
0.000127276,0.10902,2.44346,3.32573,10.7051,10.1296
0.000143068,0.108148,2.44346,3.42617,10.7182,10.141
0.000162641,0.107275,2.44346,3.52673,10.7314,10.1525
0.000187499,0.106402,2.44346,3.62741,10.7444,10.164
0.000220081,0.10553,2.44346,3.72822,10.7574,10.1754
0.000264614,0.104657,2.44346,3.82915,10.7703,10.1869
0.000329149,0.103784,2.44346,3.9302,10.7832,10.1984
0.000431237,0.102912,2.44346,4.03138,10.796,10.2098
0.000618237,0.102039,2.44346,4.13268,10.8087,10.2213
0.00108377,0.101167,2.44346,4.23411,10.8214,10.2328
0.247275,0.101175,2.44346,4.33565,10.834,10.2443
0.25,0.101179,2.44346,4.43733,10.8465,10.2317
5.14093e-06,0.134014,0.592556,-5,9.5,8.8
5.06354e-06,0.133141,0.349066,-4.912,9.5,8.85078
5.10623e-06,0.134014,0.349066,-4.82353,9.50252,8.89931
5.15716e-06,0.134886,0.349066,-4.73465,9.50705,8.94476
5.21603e-06,0.135759,0.349066,-4.64542,9.51324,8.98663
5.28271e-06,0.136632,0.349066,-4.55587,9.52079,9.02488
5.35717e-06,0.137504,0.349066,-4.46604,9.52945,9.05975
5.43946e-06,0.138377,0.349066,-4.37595,9.53904,9.09158
5.52969e-06,0.13925,0.349066,-4.28562,9.54939,9.12078
5.62804e-06,0.140122,0.349066,-4.19508,9.56038,9.14771
5.73472e-06,0.140995,0.349066,-4.10433,9.5719,9.17276
5.85e-06,0.141868,0.349066,-4.01339,9.58388,9.19622
5.97416e-06,0.14274,0.349066,-3.92226,9.59625,9.21838
6.10752e-06,0.143613,0.349066,-3.83096,9.60895,9.23948
6.25045e-06,0.144486,0.349066,-3.73948,9.62195,9.25971
6.40332e-06,0.145358,0.349066,-3.64784,9.6352,9.27924
6.56655e-06,0.146231,0.349066,-3.55603,9.64869,9.29821
6.74056e-06,0.147104,0.349066,-3.46406,9.66238,9.31672
6.92581e-06,0.147976,0.349066,-3.37194,9.67627,9.33486
7.12277e-06,0.148849,0.349066,-3.27965,9.69033,9.35272
7.33188e-06,0.149722,0.349066,-3.18721,9.70456,9.37035
7.55363e-06,0.150594,0.349066,-3.09462,9.71895,9.38779
7.78847e-06,0.151467,0.349066,-3.00188,9.73349,9.40509
8.0368e-06,0.15234,0.349066,-2.90898,9.74818,9.42229
8.29902e-06,0.153212,0.349066,-2.81593,9.76301,9.4394
8.57544e-06,0.154085,0.349066,-2.72273,9.77798,9.45645
8.86628e-06,0.154958,0.349066,-2.62938,9.79308,9.47344
9.17165e-06,0.15583,0.349066,-2.53588,9.80832,9.49041
9.49153e-06,0.156703,0.349066,-2.44223,9.82369,9.50735
9.82572e-06,0.157576,0.349066,-2.34843,9.83919,9.52428
1.01738e-05,0.158449,0.349066,-2.25448,9.85482,9.5412
1.05346e-05,0.157576,0.349066,-2.16038,9.87058,9.55811
1.09073e-05,0.156703,0.349066,-2.06612,9.88647,9.57392
1.12907e-05,0.15583,0.349066,-1.97173,9.90245,9.58883
1.16835e-05,0.154958,0.349066,-1.87719,9.91849,9.60303
1.20839e-05,0.154085,0.349066,-1.78252,9.93457,9.61666
1.249e-05,0.153212,0.349066,-1.68771,9.95067,9.62983
1.28997e-05,0.15234,0.349066,-1.59276,9.96677,9.64265
1.33106e-05,0.151467,0.349066,-1.49769,9.98286,9.65518
