t,north,east,down,vel,roll,pitch,speed,throttle
2.64,146.385,-559.47,-25.3488,14.6288,-1.5383,3.24794,14.2851,0.3
2.65,146.405,-558.999,-25.3956,14.6295,-1.48116,3.24433,14.2851,0.3
2.66,146.405,-558.999,-25.3956,14.6295,-1.4193,3.24272,14.2851,0.3
2.67,146.425,-558.528,-25.4424,14.6294,-1.38162,3.23998,14.2851,0.3
2.68,146.425,-558.528,-25.4424,14.6294,-1.32785,3.23235,14.2851,0.3
2.69,146.45,-557.94,-25.5007,14.6298,-1.27101,3.22825,14.4324,0.3
2.7,146.45,-557.94,-25.5007,14.6298,-1.22214,3.2252,14.4324,0.3
2.71,146.47,-557.471,-25.5474,14.6293,-1.16749,3.22083,14.4324,0.3
2.72,146.49,-557.001,-25.5941,14.6285,-1.11503,3.21845,14.4324,0.3
2.73,146.49,-557.001,-25.5941,14.6285,-1.06706,3.21309,14.4324,0.3
2.74,146.51,-556.532,-25.6409,14.6287,-1.02078,3.20769,14.3801,0.3
2.75,146.51,-556.532,-25.6409,14.6287,-0.968056,3.20999,14.3801,0.3
2.76,146.531,-556.063,-25.6876,14.6278,-0.920329,3.20726,14.3801,0.3
2.77,146.551,-555.594,-25.7343,14.6265,-0.877986,3.20518,14.3801,0.3
2.78,146.551,-555.594,-25.7343,14.6265,-0.830699,3.2014,14.3801,0.3
2.79,146.576,-555.008,-25.7926,14.6253,-0.786434,3.19914,14.4247,0.3
2.8,146.576,-555.008,-25.7926,14.6253,-0.752098,3.19811,14.4247,0.3
2.81,146.596,-554.54,-25.8391,14.6247,-0.711813,3.19262,14.4247,0.3
2.82,146.596,-554.54,-25.8391,14.6247,-0.670826,3.18607,14.4247,0.3
2.83,146.617,-554.069,-25.8854,14.6246,-0.633249,3.18055,14.4247,0.3
2.84,146.638,-553.599,-25.9314,14.6239,-0.593978,3.17822,14.3856,0.3
2.85,146.638,-553.599,-25.9314,14.6239,-0.561054,3.17313,14.3856,0.3
2.86,146.659,-553.129,-25.9776,14.6232,-0.524903,3.1618,14.3856,0.3
2.87,146.659,-553.129,-25.9776,14.6232,-0.486976,3.1547,14.3856,0.3
2.88,146.68,-552.659,-26.0237,14.6232,-0.444525,3.15321,14.3856,0.3
2.89,146.68,-552.659,-26.0237,14.6232,-0.430302,3.15275,14.3856,0.3
2.9,146.706,-552.072,-26.0813,14.6229,-0.394666,3.1472,14.2924,0.3
2.91,146.726,-551.603,-26.1275,14.6222,-0.360129,3.14171,14.2924,0.3
2.92,146.726,-551.603,-26.1275,14.6222,-0.330007,3.13295,14.2924,0.3
2.93,146.747,-551.134,-26.1737,14.6225,-0.297922,3.12354,14.2924,0.3
2.94,146.747,-551.134,-26.1737,14.6225,-0.26412,3.11582,14.2924,0.3
2.95,146.773,-550.549,-26.2313,14.6214,-0.23697,3.11334,14.375,0.3
2.96,146.789,-550.197,-26.2658,14.6219,-0.210615,3.11061,14.375,0.3
2.97,146.789,-550.197,-26.2658,14.6219,-0.182918,3.10268,14.375,0.3
2.98,146.809,-549.729,-26.3118,14.6216,-0.159818,3.0965,14.375,0.3
2.99,146.809,-549.729,-26.3118,14.6216,-0.129041,3.09002,14.375,0.3
3,146.835,-549.144,-26.3692,14.621,-0.103952,3.0757,14.3822,0.3
3.01,146.835,-549.144,-26.3692,14.621,-0.081574,3.07077,14.3822,0.3
3.02,146.855,-548.676,-26.415,14.6198,-0.0685422,3.06944,14.3822,0.3
3.03,146.877,-548.206,-26.461,14.6197,-0.047093,3.06369,14.3822,0.3
3.04,146.877,-548.206,-26.461,14.6197,-0.0225338,3.05356,14.3822,0.3
3.05,146.898,-547.734,-26.507,14.6194,0.00240229,3.04639,14.2493,0.3
3.06,146.898,-547.734,-26.507,14.6194,0.023747,3.03988,14.2493,0.3
3.07,146.919,-547.264,-26.5528,14.6197,0.0466202,3.03077,14.2493,0.3
3.08,146.94,-546.794,-26.5985,14.6211,0.0636649,3.02202,14.2493,0.3
3.09,146.94,-546.794,-26.5985,14.6211,0.0790538,3.01304,14.2493,0.3
3.1,146.966,-546.206,-26.6552,14.6224,0.0973165,2.9961,14.3351,0.3
3.11,146.966,-546.206,-26.6552,14.6224,0.112943,2.98443,14.3351,0.3
3.12,146.987,-545.737,-26.7003,14.623,0.126604,2.97492,14.3351,0.3
3.13,146.987,-545.737,-26.7003,14.623,0.140066,2.96483,14.3351,0.3
3.14,147.007,-545.268,-26.7453,14.6235,0.160322,2.95384,14.3351,0.3
3.15,147.028,-544.799,-26.7901,14.6242,0.172835,2.94021,14.2799,0.3
