z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10.5,38,0.167152,0.0637704,1.56546,1.57738,1.8429,6.71174,-0.00604275,6.71162,-0.0405571,1.605,1.44386,0.0698132
1.3,10.5,39,0.165379,0.0602798,1.52871,1.71161,1.84209,6.71394,-0.00953342,6.71364,-0.0640058,1.75248,1.44419,0.0698132
1.3,10.5,40,0.160049,0.0567891,1.49998,1.84588,1.84081,6.71684,-0.0130241,6.71627,-0.0874783,1.89679,1.44407,0.0698132
1.3,10.5,41,0.141855,0.0532984,1.47762,1.98021,1.83906,6.72162,-0.0165148,6.72071,-0.111001,2.03859,1.44335,0.0698132
1.3,10.5,42,3.11118e-05,0.0498078,1.46028,2.11462,1.83684,6.73213,-0.0200054,6.73078,-0.13467,2.17848,1.44197,0.0698132
1.3,10.5,43,1.02491e-05,0.0463171,1.44691,2.24924,1.83415,6.76334,-0.0234961,6.76147,-0.158897,2.31699,1.43993,0.0698132
1.3,10.5,44,1.26254e-05,0.0430947,1.4367,2.38447,1.83097,6.79486,-0.0267184,6.79244,-0.181527,2.45497,1.43724,0.0698132
1.3,10.5,45,1.63953e-05,0.040141,1.42901,2.52032,1.82734,6.8267,-0.0296722,6.8237,-0.202534,2.59269,1.43394,0.0698132
1.3,10.5,46,2.33245e-05,0.0374558,1.42336,2.65679,1.82329,6.85884,-0.0323573,6.85525,-0.221895,2.73033,1.43011,0.0698132
1.3,10.5,47,4.06424e-05,0.0350393,1.41941,2.7939,1.81885,6.89127,-0.0347738,6.8871,-0.239588,2.86803,1.42578,0.0698132
1.3,10.5,48,0.223453,0.0320671,1.41691,2.93164,1.81406,6.92398,-0.0369219,6.91926,-0.255588,3.00559,1.42096,0.068989
1.3,10.5,49,0.25,0.0295515,1.41569,3.07002,1.80895,6.90608,-0.0391169,6.90079,-0.270075,3.14347,1.41575,0.0686683
1.3,10.75,0,8.71864e-08,0.119644,0.349066,-5,1.3,10.75,4.15383e-39,10.75,4.46598e-38,-4.61048,1.20903,0.119644
1.3,10.75,1,9.09354e-08,0.116153,0.349066,-4.785,1.3,10.9478,0.0463399,10.9361,0.507139,-4.3958,1.20767,0.0698132
1.3,10.75,2,1.07196e-07,0.119644,0.349066,-4.56628,1.31014,11.0438,0.0693912,11.0172,0.765727,-4.17676,1.21918,0.0502525
1.3,10.75,3,1.34163e-07,0.123134,0.349066,-4.34593,1.32546,11.1099,0.0831395,11.0715,0.922604,-3.9561,1.23585,0.0399949
1.3,10.75,4,1.94577e-07,0.126625,0.349066,-4.12451,1.34391,11.1623,0.0920005,11.1151,1.02549,-3.73436,1.25567,0.0346245
1.3,10.75,5,0.318511,0.130116,0.349066,-3.9022,1.36442,11.2084,0.0983382,11.1542,1.10044,-3.51175,1.27754,0.0317775
1.3,10.75,6,0.5,0.133606,0.349066,-3.67912,1.38643,11.1754,0.105005,11.1138,1.17131,-3.28837,1.30091,0.0286017
1.3,10.75,7,0.5,0.137097,0.349066,-3.45684,1.40985,11.0267,0.112511,10.957,1.23801,-3.06579,1.3257,0.0245862
1.3,10.75,8,0.5,0.140588,0.349066,-3.2377,1.43461,10.87,0.117745,10.7948,1.27694,-2.84636,1.35183,0.0228423
1.3,10.75,9,0.5,0.144078,0.349066,-3.02181,1.46015,10.708,0.121845,10.6286,1.30149,-2.63018,1.37873,0.0222332
1.3,10.75,10,0.5,0.147569,0.349066,-2.80923,1.48618,10.5419,0.125365,10.4591,1.31812,-2.41733,1.40613,0.0222039
1.3,10.75,11,0.5,0.14936,0.349066,-2.60005,1.51255,10.3722,0.128578,10.2866,1.32996,-2.208,1.43319,0.0207823
1.3,10.75,12,0.5,0.145869,0.349066,-2.39432,1.53914,10.1973,0.130778,10.1102,1.32978,-2.00255,1.45842,0.0150914
1.3,10.75,13,0.5,0.142379,0.349066,-2.19212,1.56574,10.0127,0.129851,9.92839,1.2965,-1.80063,1.48365,0.0125282
1.3,10.75,14,0.5,0.138888,0.349066,-1.99355,1.59167,9.82178,0.127233,9.74239,1.24629,-1.60235,1.50822,0.0116551
1.3,10.75,15,0.5,0.135397,0.349066,-1.7987,1.6166,9.62617,0.123671,9.55265,1.18745,-1.4078,1.53178,0.011726
1.3,10.75,16,0.5,0.131907,0.349673,-1.60765,1.64035,9.4266,0.119553,9.35932,1.12429,-1.21709,1.55393,0.0123543
1.3,10.75,17,0.5,0.128416,0.381679,-1.42046,1.66283,9.22347,0.115076,9.16247,1.05906,-1.03322,1.56261,0.0133406
1.3,10.75,18,0.5,0.124925,0.440491,-1.23721,1.68401,9.01695,0.110341,8.96212,0.992924,-0.856964,1.55987,0.0145843
1.3,10.75,19,0.5,0.121435,0.525238,-1.05797,1.70387,8.80716,0.105397,8.75829,0.926529,-0.690141,1.5467,0.016038
1.3,10.75,20,0.5,0.117944,0.63669,-0.882804,1.7224,8.59415,0.100261,8.55099,0.860211,-0.535427,1.52408,0.0176836
1.3,10.75,21,0.5,0.114453,0.775796,-0.711784,1.73961,8.37795,0.0949332,8.34023,0.794151,-0.396117,1.49393,0.0195203
1.3,10.75,22,0.5,0.110963,0.942483,-0.54498,1.75549,8.1586,0.0894045,8.12602,0.728445,-0.275479,1.45991,0.0215583
1.3,10.75,23,0.5,0.107472,1.13465,-0.38246,1.77006,7.93613,0.0836568,7.90837,0.663137,-0.175564,1.42772,0.0238154
1.3,10.75,24,0.5,0.103981,1.34753,-0.224292,1.78332,7.71057,0.0776655,7.68733,0.598244,-0.095716,1.40455,0.0263159
1.3,10.75,25,0.5,0.100491,1.57377,-0.0705455,1.79528,7.48198,0.0714004,7.46291,0.533762,-0.031601,1.39719,0.0290904
1.3,10.75,26,0.5,0.0970001,1.80438,0.0787128,1.80596,7.2504,0.0648246,7.23517,0.469675,0.0242475,1.40969,0.0321756
1.3,10.75,27,0.5,0.0935095,2.03041,0.223416,1.81535,7.01591,0.0578942,7.00415,0.405954,0.0802247,1.44186,0.0356152
1.3,10.75,28,2.58005e-06,0.0900188,2.24474,0.363499,1.82347,6.7786,0.0505572,6.76993,0.342561,0.142977,1.48975,0.0394616
1.3,10.75,29,2.72432e-06,0.0865281,2.44346,0.498898,1.83032,6.79083,0.0377917,6.78598,0.256576,0.215847,1.54769,0.0487364
1.3,10.75,30,2.89884e-06,0.0900188,2.25035,0.634618,1.83546,6.80849,0.028007,6.80582,0.19066,0.412227,1.50298,0.0620118
1.3,10.75,31,3.08215e-06,0.0923084,2.08792,0.770734,1.83927,6.83422,0.0224953,6.8325,0.153725,0.605874,1.47482,0.0698132
1.3,10.75,32,3.28751e-06,0.0894422,1.95143,0.907384,1.84234,6.86544,0.019629,6.86412,0.134753,0.792547,1.45918,0.0698132
1.3,10.75,33,3.51977e-06,0.0868364,1.83826,1.04467,1.84504,6.89703,0.0170233,6.89603,0.117404,0.972807,1.45155,0.0698132
1.3,10.75,34,3.7845e-06,0.0844919,1.74585,1.18259,1.84739,6.92899,0.0146787,6.92824,0.101705,1.14641,1.44903,0.0698132
1.3,10.75,35,4.08895e-06,0.0824092,1.67143,1.32115,1.84942,6.9613,0.012596,6.96075,0.0876823,1.31386,1.44949,0.0698132
1.3,10.75,36,4.44268e-06,0.0805888,1.61214,1.46037,1.85117,6.99396,0.0107756,6.99356,0.0753625,1.47606,1.45148,0.0698132
