u0_opt,u1_opt,u2_opt
4.91679e-06,0.113837,1.49921
5.34749e-06,0.117328,1.4766
5.85465e-06,0.120819,1.45896
6.46033e-06,0.124309,1.4452
7.19596e-06,0.1278,1.43449
8.10789e-06,0.131291,1.42616
9.26754e-06,0.134781,1.41969
1.07909e-05,0.138272,1.41469
1.28797e-05,0.141763,1.41084
1.59197e-05,0.145253,1.4079
2.07534e-05,0.148744,1.40569
2.96581e-05,0.152235,1.40406
5.19575e-05,0.155725,1.40292
0.247102,0.155682,1.4022
0.25,0.155682,1.40185
1.24313e-07,0.138829,0.349066
1.33886e-07,0.135338,0.349066
1.68403e-07,0.138829,0.349066
2.44872e-07,0.142319,0.349066
0.320661,0.14581,0.349066
0.5,0.146555,0.349066
0.5,0.143064,0.349066
0.5,0.139573,0.349066
0.5,0.136083,0.349066
0.5,0.132592,0.349066
0.5,0.129101,0.349066
0.5,0.125611,0.349066
0.5,0.12212,0.349066
0.5,0.118629,0.349066
0.5,0.115139,0.374261
0.5,0.111648,0.439123
0.5,0.108157,0.542208
0.5,0.104667,0.68585
0.5,0.101176,0.873293
0.5,0.0976854,1.10619
0.5,0.0941947,1.36799
0.5,0.090704,1.62979
0.5,0.0872134,1.89159
2.54826e-06,0.0837227,2.15338
2.66468e-06,0.080232,2.41518
2.79263e-06,0.0837227,2.22675
2.93368e-06,0.0872134,2.068
3.08918e-06,0.090704,1.93479
3.26096e-06,0.0941947,1.82456
3.45132e-06,0.0976854,1.73471
3.66316e-06,0.101176,1.66245
3.9001e-06,0.104667,1.60493
4.16668e-06,0.108157,1.55949
4.46866e-06,0.111648,1.52377
4.8134e-06,0.115139,1.49579
5.21045e-06,0.118629,1.47391
5.67246e-06,0.12212,1.45684
6.21652e-06,0.125611,1.44352
6.86625e-06,0.129101,1.43314
7.65533e-06,0.132592,1.42507
8.63341e-06,0.136083,1.41879
9.87692e-06,0.139573,1.41392
1.151e-05,0.143064,1.41015
1.37484e-05,0.146555,1.40725
1.70045e-05,0.150045,1.40503
2.21789e-05,0.153536,1.40336
3.17054e-05,0.157027,1.40214
5.55467e-05,0.160517,1.40128
0.244523,0.160562,1.40074
0.25,0.160618,1.40048
6.0082e-08,0.109261,0.349066
6.15662e-08,0.10577,0.349066
6.77697e-08,0.109261,0.349066
7.57284e-08,0.112751,0.349066
8.65316e-08,0.116242,0.349066
1.02395e-07,0.119733,0.349066
1.28978e-07,0.123223,0.349066
1.88564e-07,0.126714,0.349066
0.437821,0.130205,0.349066
0.5,0.133695,0.349066
0.5,0.137186,0.349066
0.5,0.140677,0.349066
0.5,0.144167,0.349066
0.5,0.147658,0.349066
0.5,0.147495,0.349066
0.5,0.144004,0.349066
0.5,0.140514,0.349066
0.5,0.137023,0.350288
0.5,0.133532,0.379428
0.5,0.130042,0.432088
0.5,0.126551,0.507176
0.5,0.12306,0.605125
0.5,0.11957,0.72668
0.5,0.116079,0.871939
0.5,0.112588,1.03955
0.5,0.109098,1.22616
0.5,0.105607,1.42628
0.293777,0.102116,1.63274
2.84137e-07,0.0986257,1.8377
2.02422e-07,0.095135,2.04253
1.68124e-07,0.0916444,2.24584
1.92281e-07,0.0881537,2.44346
2.53585e-07,0.084663,2.25036
0.0705715,0.0811724,2.08794
0.167725,0.0776817,1.95148
0.167935,0.074191,1.83836
0.168126,0.0707004,1.74601
0.168274,0.0672097,1.67167
0.168316,0.063719,1.61249
0.168081,0.0602284,1.56576
0.167036,0.0567377,1.52912
0.163277,0.053247,1.50052
0.148125,0.0497564,1.47833
1.09126e-05,0.0462657,1.4612
1.24907e-05,0.042775,1.44812
1.62186e-05,0.0395534,1.43826
2.30706e-05,0.036601,1.43102
4.01957e-05,0.0339178,1.42595
0.215157,0.0308469,1.42274
0.25,0.0281645,1.42118
1.21247e-07,0.112639,0.349066
1.25965e-07,0.109149,0.349066
1.4234e-07,0.112639,0.349066
1.6563e-07,0.11613,0.349066
2.02996e-07,0.119621,0.349066
2.78795e-07,0.123111,0.349066
6.47485e-07,0.126602,0.349066
0.5,0.130093,0.349066
0.5,0.133583,0.349066
0.5,0.137074,0.349066
0.5,0.140565,0.349066
0.5,0.144055,0.349066
0.5,0.145318,0.349066
0.5,0.141934,0.349066
0.5,0.138443,0.349066
0.5,0.134953,0.349066
0.5,0.131462,0.349066
0.5,0.127971,0.35646
0.5,0.124481,0.390643
0.5,0.12099,0.448087
0.5,0.117499,0.528094
0.5,0.114009,0.631174
0.5,0.110518,0.757902
0.5,0.107027,0.907976
0.5,0.103537,1.07947
0.5,0.100046,1.26833
0.5,0.0965553,1.46844
0.306966,0.0930647,1.67218
4.45191e-07,0.089574,1.87157
3.17997e-07,0.0860833,2.06766
2.65059e-07,0.0825927,2.2596
3.02783e-07,0.079102,2.44346
3.98487e-07,0.0756113,2.25036
0.0687803,0.0721207,2.08794
0.1683,0.06863,1.95148
0.168483,0.0651393,1.83836
0.1686,0.0616487,1.74601
0.168529,0.058158,1.67167
0.167875,0.0546673,1.61249
0.165078,0.0511766,1.56576
0.152184,0.047686,1.52912
1.31795e-05,0.0441953,1.50052
1.41007e-05,0.0407046,1.47833
1.678e-05,0.0374834,1.4612
2.06706e-05,0.0345318,1.44812
2.68427e-05,0.0318498,1.43826
3.81871e-05,0.0294372,1.43102
6.65392e-05,0.0272938,1.42595
0.207691,0.0244156,1.42274
0.25,0.0220251,1.42118
7.49667e-08,0.116099,0.349066
7.83523e-08,0.112608,0.349066
8.93615e-08,0.116099,0.349066
1.0535e-07,0.119589,0.349066
1.3206e-07,0.12308,0.349066
1.91998e-07,0.126571,0.349066
0.437463,0.130061,0.349066
0.5,0.133552,0.349066
0.5,0.137043,0.349066
0.5,0.140533,0.349066
0.5,0.14387,0.349066
0.5,0.141713,0.349066
0.5,0.138223,0.349066
0.5,0.134732,0.349066
0.5,0.131241,0.349066
0.5,0.127751,0.349066
0.5,0.12426,0.349066
0.5,0.120769,0.369248
0.5,0.117279,0.41548
0.5,0.113788,0.485759
0.5,0.110297,0.580256
0.5,0.106807,0.69985
0.5,0.103316,0.844997
0.5,0.0998253,1.01478
0.5,0.0963347,1.20617
0.5,0.092844,1.41375
0.5,0.0893533,1.6301
0.5,0.0858627,1.84683
4.29411e-07,0.082372,2.05616
2.2225e-07,0.0788813,2.25224
2.33269e-07,0.0753907,2.44346
2.52106e-07,0.0719,2.25036
2.88163e-07,0.0684093,2.08793
3.79482e-07,0.0649187,1.95145
0.133445,0.061428,1.8383
0.168573,0.0579373,1.74591
0.167957,0.0544467,1.67152
0.165263,0.050956,1.61227
0.152636,0.0474653,1.56546
7.51426e-06,0.0439747,1.52871
6.52108e-06,0.040484,1.49998
7.43697e-06,0.0372628,1.47762
8.63776e-06,0.0343113,1.46028
1.02809e-05,0.0316294,1.44691
1.2667e-05,0.029217,1.4367
1.64523e-05,0.0270738,1.42901
2.34098e-05,0.0251995,1.42336
4.07985e-05,0.0235936,1.41941
0.209855,0.0209025,1.41691
0.25,0.0187886,1.41569
8.49639e-08,0.119644,0.349066
9.03797e-08,0.116153,0.349066
1.06553e-07,0.119644,0.349066
1.33385e-07,0.123134,0.349066
1.9351e-07,0.126625,0.349066
0.281288,0.130116,0.349066
0.5,0.133606,0.349066
0.5,0.137097,0.349066
0.5,0.140588,0.349066
0.5,0.140665,0.349066
0.5,0.137726,0.349066
0.5,0.134236,0.349066
0.5,0.130745,0.349066
0.5,0.127254,0.349066
0.5,0.123764,0.349066
0.5,0.120273,0.349066
0.5,0.116782,0.352652
0.5,0.113292,0.386413
0.5,0.109801,0.446233
0.5,0.10631,0.53146
0.5,0.10282,0.642955
0.5,0.0993289,0.781702
0.5,0.0958382,0.94765
0.5,0.0923476,1.13875
0.5,0.0888569,1.35035
0.5,0.0853662,1.57527
0.5,0.0818756,1.80475
0.5,0.0783849,2.03004
2.5596e-06,0.0748942,2.24421
2.70192e-06,0.0714035,2.44346
2.87218e-06,0.0748942,2.25035
3.05385e-06,0.0763697,2.08792
3.25756e-06,0.0736518,1.95143
3.48794e-06,0.071197,1.83826
3.75053e-06,0.0690058,1.74585
4.05252e-06,0.0670784,1.67143
4.4034e-06,0.065415,1.61214
4.81597e-06,0.0640159,1.56528
5.30793e-06,0.0628809,1.52846
5.90448e-06,0.0620102,1.49965
6.64278e-06,0.0614036,1.47718
7.57997e-06,0.061061,1.45971
8.80875e-06,0.0609824,1.44618
1.04903e-05,0.0611676,1.43575
1.29323e-05,0.0616164,1.42779
1.68065e-05,0.0623287,1.42179
2.39279e-05,0.0633045,1.41739
4.1726e-05,0.0645435,1.41431
0.261701,0.0627542,1.41236
0.249971,0.0618013,1.41141
8.95192e-08,0.12328,0.349066
9.53156e-08,0.119789,0.349066
1.12482e-07,0.12328,0.349066
1.40922e-07,0.126771,0.349066
2.04622e-07,0.130261,0.349066
0.459747,0.133752,0.349066
0.5,0.137243,0.349066
0.5,0.140733,0.349066
0.5,0.139366,0.349066
0.5,0.135875,0.349066
0.5,0.132385,0.349066
0.5,0.128894,0.349066
0.5,0.125403,0.349066
0.5,0.121913,0.349066
0.5,0.118422,0.349066
0.5,0.114931,0.349066
0.5,0.111441,0.36635
0.5,0.10795,0.41329
0.5,0.104459,0.487428
0.5,0.100969,0.589049
0.5,0.097478,0.719359
0.5,0.0939874,0.879072
0.5,0.0904967,1.0672
0.5,0.087006,1.28013
0.5,0.0835153,1.51132
0.5,0.0800247,1.75191
0.5,0.076534,1.99234
2.54199e-06,0.0730433,2.22449
2.67058e-06,0.0695527,2.44346
2.81577e-06,0.0730433,2.25035
2.9848e-06,0.076534,2.08791
3.18874e-06,0.0800247,1.95142
3.40498e-06,0.0823554,1.83824
3.64969e-06,0.0836965,1.74582
3.92893e-06,0.0853023,1.67137
4.25047e-06,0.0871729,1.61206
4.62465e-06,0.0893087,1.56517
5.06546e-06,0.0917101,1.52831
5.59237e-06,0.0943776,1.49945
6.23331e-06,0.0973118,1.47692
7.02988e-06,0.100513,1.45937
7.93227e-06,0.103983,1.44573
9.2174e-06,0.107474,1.43518
1.09815e-05,0.110965,1.42705
1.35516e-05,0.114455,1.42084
1.76424e-05,0.117946,1.41616
2.5186e-05,0.121437,1.41273
4.40931e-05,0.124927,1.41033
0.265839,0.124096,1.40881
0.25,0.123727,1.40807
1.04167e-07,0.127012,0.349066
1.13354e-07,0.123521,0.349066
1.40068e-07,0.127012,0.349066
1.95e-07,0.130503,0.349066
5.11512e-07,0.133993,0.349066
0.5,0.137484,0.349066
0.5,0.139796,0.349066
0.5,0.136424,0.349066
0.5,0.132933,0.349066
0.5,0.129443,0.349066
0.5,0.125952,0.349066
0.5,0.122461,0.349066
0.5,0.118971,0.349066
0.5,0.11548,0.349066
0.5,0.111989,0.349066
0.5,0.108499,0.349431
0.5,0.105008,0.384088
0.5,0.101517,0.448228
0.5,0.0980267,0.541267
0.5,0.0945361,0.664428
0.5,0.0910454,0.819015
0.5,0.0875547,1.00494
0.5,0.0840641,1.21949
0.5,0.0805734,1.45664
0.5,0.0770827,1.70735
0.5,0.073592,1.96115
2.57855e-06,0.0701014,2.20858
2.70731e-06,0.0666107,2.44346
2.84863e-06,0.0701014,2.25035
3.0055e-06,0.073592,2.08791
3.18033e-06,0.0770827,1.95141
3.37608e-06,0.0805734,1.83822
3.59649e-06,0.0840641,1.74579
3.8463e-06,0.0875547,1.67134
4.13157e-06,0.0910454,1.61201
4.46021e-06,0.0945361,1.5651
4.84273e-06,0.0980267,1.52822
5.29328e-06,0.101517,1.49933
